index	name	height	weight	description	image
1	Bulbasaur	2' 04"	15.2	Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/1.png
2	Ivysaur	3' 03"	28.7	There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/2.png
3	Venusaur	6' 07"	220.5	There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/3.png
4	Charmander	2' 00"	18.7	The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/4.png
5	Charmeleon	3' 07"	41.9	Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/5.png
6	Charizard	5' 07"	199.5	Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/6.png
7	Squirtle	1' 08"	19.8	Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/7.png
8	Wartortle	3' 03"	49.6	Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/8.png
9	Blastoise	5' 03"	188.5	Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/9.png
10	Caterpie	1' 00"	6.4	Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/10.png
